"","id","name","isclosed","review_count","categories","rating","latitude","longitude","price","address1","city","zip"
"177","QjBFXoHhILMUfEuhVRti5Q","McDonald's",FALSE,14,"list(alias = c(""hotdogs"", ""burgers"", ""coffee""), title = c(""Fast Food"", ""Burgers"", ""Coffee & Tea""))",2.5,40.7984645456695,-77.8558474593138,"$","442 E College Ave","State College","16801"
"178","o8pp-p_mx9pl5gq4uAaPxw","Au Bon Pain",FALSE,2,"list(alias = ""cafes"", title = ""Cafes"")",2.5,40.8075558,-77.8617399,"$$","Ist","University Park","16802"
"179","MCZWf7ng2q4RfMhxFWm-tw","Original Brother's Pizza",FALSE,18,"list(alias = ""pizza"", title = ""Pizza"")",2.5,40.802531,-77.88606,"$","231 Northland Ctr","State College","16803"
"180","Hu2jWvOMatbAr0QETK_KcA","QDOBA Mexican Eats",FALSE,12,"list(alias = c(""hotdogs"", ""mexican""), title = c(""Fast Food"", ""Mexican""))",2.5,40.8087505,-77.905137,"$$","1908 N Atherton St","State College","16803"
"181","v7H0124vzFYS18NMwSjy6A","Logan's Grill",FALSE,3,"list(alias = c(""burgers"", ""sandwiches""), title = c(""Burgers"", ""Sandwiches""))",2.5,40.79681,-77.85722,"$$","334 E Calder Way","State College","16801"
"182","B6-8_5-2kE09Z67n9ydaog","Burger King",FALSE,5,"list(alias = c(""burgers"", ""hotdogs""), title = c(""Burgers"", ""Fast Food""))",3.5,40.79981,-77.84821,"$","521 University Dr","State College","16801"
"183","S165Zxgvq72qzj2LEkIUXA","Papa John's Pizza",FALSE,12,"list(alias = ""pizza"", title = ""Pizza"")",3,40.7849884,-77.8426208,"$","1341 S Atherton St","State College","16801"
"184","fh4IN9ZUp7QniXyCaR9ioA","Brother's Pizza",FALSE,43,"list(alias = ""pizza"", title = ""Pizza"")",2.5,40.78735,-77.85624,"$","238 W Hamilton Ave","State College","16801"
"185","XIx4oFJNHZJplo3TLhDQww","Domino's Pizza",FALSE,14,"list(alias = c(""pizza"", ""chicken_wings"", ""sandwiches""), title = c(""Pizza"", ""Chicken Wings"", ""Sandwiches""))",2.5,40.7826464,-77.8542333,"$","540 Westerly Pkwy","State College","16801"
"186","V-IXXMmWLsCZjBYu2a16oQ","Subway",FALSE,3,"list(alias = c(""sandwiches"", ""hotdogs""), title = c(""Sandwiches"", ""Fast Food""))",2.5,40.7989,-77.85549,"$","454 E College Ave","State College","16801"
"187","BLjqKn_5XxAYFb9nHMc34w","Pizza Hut",FALSE,9,"list(alias = c(""pizza"", ""italian"", ""chicken_wings""), title = c(""Pizza"", ""Italian"", ""Chicken Wings""))",2.5,40.78563,-77.85497,"$","760 S Atherton St","State College","16801"
